CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
VRFU9,OOCL WASHINGTON,CONTAINER,2025/05/11 08:00,"HONG KONG, CHINA","NINGBO, ZJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
5LID5,MSC MAKALU III,CONTAINER,2025/05/11 08:00,LIBERIA,"QINZHOU, GX",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,
9HA5092,AFRA ROSSI,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/11 08:00,MALTA,SINGAPORE,VASTON SHIPPING AGENCY LIMITED,RCVD
VREU8,SC LIAONING,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/11 09:00,"HONG KONG, CHINA",DAESAN,GULF AGENCY CO (HK) LTD,RCVD
VRFT7,DAPENG STAR,LIQUIFIED NATURAL GAS TANKER,2025/05/11 10:00,"HONG KONG, CHINA","DAMPIER, AUSTRALIA",TRANSIT AGENT,RCVD
V7A5926,FEDERAL KIBUNE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 11:00,MARSHALL ISLANDS,"TIANJIN XINGANG, TJ",SHING FUNG SHIPPING AGENCY CO. LIMITED,RCVD
3E4003,SUNFLYTE,CHEMICAL,2025/05/11 12:00,PANAMA,"SHEKOU, SHENZHEN",OCEAN BASE CO LTD,RCVD
9V6512,WAN HAI 292,CONTAINER,2025/05/11 13:00,SINGAPORE,YOKOHAMA,HYALINE SHIPPING (HK) CO LTD,RCVD
5LNQ4,MSC MAGNITUDE VII,CONTAINER,2025/05/11 13:00,LIBERIA,"NANSHA, PANYU",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,
9V7801,EVER WEB,CONTAINER,2025/05/11 13:30,SINGAPORE,LAEM CHABANG,EVERGREEN MARINE (HONG KONG) LTD,RCVD
VROA2,KELLETT ISLAND,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 15:00,"HONG KONG, CHINA",NEWCASTLE,PENAVICO (HONG KONG) LIMITED,RCVD
2IEC6,BERGE HENG SHAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 15:00,ISLE OF MAN,"SHEKOU, SHENZHEN",GULF AGENCY CO (HK) LTD,RCVD
3FXV9,GREAT WENMING,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 15:00,PANAMA,DUNG QUAT,GRANDFAME SHIP MANAGEMENT LTD,RCVD
3E5348,SHENG HONG 12,GENERAL / HEAVY LIFT CARGO,2025/05/11 15:01,PANAMA,"DONGGUAN, GD",TEXCO MARINE AGENCY LIMITED,
3E6888,HONG YI DA 9,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 16:00,PANAMA,"ZHENHAI, ZJ",MINDA SHIPPING (HONG KONG) LIMITED,RCVD
V7BQ2,GENCO RESOLUTE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 17:00,MARSHALL ISLANDS,"DALIAN, LN",BEN LINE AGENCIES (HK) LTD,RCVD
3E4766,KANG SHUN HUI HUANG,GENERAL / HEAVY LIFT CARGO,2025/05/11 18:00,PANAMA,"WENZHOU, ZJ",CGW LOGISTICS CO LIMITED,RCVD
3E5420,CELESTE ACE ,CAR CARRIER,2025/05/11 18:00,PANAMA,SINGAPORE,MOL HONG KONG LIMITED,RCVD
9V6017,MAERSK XIAMEN,CONTAINER,2025/05/11 18:00,SINGAPORE,"SHANGHAI, SH",SINOTRANS (HK) SHIPPING LTD,
A8ZM5,FPMC B 108,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 18:00,LIBERIA,"OTHER, VIETNAM","UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
