CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
9LS2048,MOSKVA,CONTAINER,2025/05/11 19:00,SIERRA LEONE,"OTHER, RUSSIAN",FESCO LINES HONG KONG LTD,RCVD
3E4060,MARINA SOFIA,MULTI-PURPOSE(SEMI CONT.),2025/05/11 20:00,PANAMA,"NANSHA, PANYU",PENAVICO (HONG KONG) LIMITED,RCVD
9V7381,WAN HAI 353,CONTAINER,2025/05/11 20:00,SINGAPORE,BUSAN,HYALINE SHIPPING (HK) CO LTD,RCVD
VRUN6,ONE PARANA,CONTAINER,2025/05/11 21:00,"HONG KONG, CHINA","NINGBO, ZJ",OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,RCVD
3E5352,SKY CHALLENGE,CONTAINER,2025/05/11 23:00,PANAMA,PUSAN,"CK LINE (HONGKONG) CO., LIMITED",RCVD
BRWT,GUANG MAO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 23:00,CHINA,GUANGZHOU,SGS HONG KONG LIMITED,RCVD
9HA5951,CMA CGM IVANHOE,CONTAINER,2025/05/11 23:00,MALTA,"SHANGHAI, SH",CMA CGM (HONG KONG) LIMITED,RCVD
D7XC,KMTC SEOUL,CONTAINER,2025/05/11 23:00,REPUBLIC OF KOREA,LAEM CHABANG,KMTC (HK) CO LIMITED,RCVD
D5TI7,HONG RUN 6,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 23:30,LIBERIA,"OTHER, CHINA (COAST)",P. M. S. HONG KONG LIMITED,RCVD
3E2605,DS EXPRESS 178,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 23:59,PANAMA,"ZHENJIANG, JS","UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
9LU2481,LIAN YUN 9,GENERAL / HEAVY LIFT CARGO,2025/05/11 23:59,SIERRA LEONE,TANJUNG PANDANG,BRIGHT CAPITAL SHIPPING CO LIMITED,RCVD
BQEA4,HUA YANG CHUAN QI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 23:59,CHINA,"ZHUHAI, GD",BRIGHT CAPITAL SHIPPING CO LIMITED,RCVD
VRSK4,COSCO SHIPPING LOTUS,CONTAINER,2025/05/12 00:01,"HONG KONG, CHINA",KAOHSIUNG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
D7SB,DONGJIN VOYAGER,CONTAINER,2025/05/12 00:01,REPUBLIC OF KOREA,"SHANGHAI, SH",SINOTRANS (HK) SHIPPING LTD,RCVD
VRNE7,OCEANA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 00:30,"HONG KONG, CHINA","OTHER, CANADA",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,RCVD
DSMA4,KMTC TIANJIN,CONTAINER,2025/05/12 02:00,REPUBLIC OF KOREA,"SHANGHAI, SH",KMTC (HK) CO LIMITED,RCVD
VRGE3,OOCL LE HAVRE,CONTAINER,2025/05/12 04:00,"HONG KONG, CHINA",SINGAPORE,OOCL HONG KONG BRANCH,RCVD
VRJT3,BULK HARVEST,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 04:00,"HONG KONG, CHINA","SHANGHAI, SH",SK SHIPPING LIMITED,RCVD
3E3381,V PACIFIC,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 05:00,PANAMA,"YANGJIANG, GD",PENAVICO (HONG KONG) LIMITED,RCVD
5BEB4,MARATHASSA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 05:00,CYPRUS,NEWCASTLE,WELLS MARINE AGENCIES,RCVD
9V8480,KOTA LEKAS,CONTAINER,2025/05/12 06:00,SINGAPORE,"XIAMEN, FJ",PACIFIC INTERNATIONAL LINES (HK) LTD,RCVD
3WLO9,DAI TAY DUONG 25,GENERAL / HEAVY LIFT CARGO,2025/05/12 06:00,VIETNAM,GUANGZHOU,Y & W SHIPPING COMPANY LIMITED,RCVD
5LPH8,HUMBOLDT EXPRESS,CONTAINER,2025/05/12 06:00,LIBERIA,VALPARAISO,PENAVICO (HONG KONG) LIMITED,RCVD
VRPU8,XING SHOU HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 06:00,"HONG KONG, CHINA","YANGJIANG, GD",MINDA SHIPPING (HONG KONG) LIMITED,RCVD
S9Z8,HOANG TRIEU 39,GENERAL / HEAVY LIFT CARGO,2025/05/12 08:00,SAO TOME & PRINCIPE,"OTHER, VIETNAM",EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,RCVD
5BCK2,MEGALOHARI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 08:00,CYPRUS,"CHAOZHOU, GD","UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
VRRH2,FOREVER GLORY,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/12 08:00,"HONG KONG, CHINA","DALIAN, LN",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,RCVD
BG3721,JIN HAE FA NO 26,FISHING,2025/05/12 09:30,"TAIWAN, CHINA",KAOHSIUNG,ISM SHIPPING AGENT COMPANY,
XVJV7,AMBER,LIQUIFIED PETROLEUM GAS TANKER,2025/05/12 10:00,VIETNAM,HAIPHONG,BEN LINE AGENCIES (HK) LTD,RCVD
3FPF4,SAZANKA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 10:00,PANAMA,OPEN SEA,MOL HONG KONG LIMITED,RCVD
3E3433,SEA GULL 18,CHEMICAL,2025/05/12 12:00,PANAMA,"OTHER, CHINA (COAST)",CONCORD MARINE LIMITED,RCVD
3E6120,HARMONY 2,GENERAL / HEAVY LIFT CARGO,2025/05/12 12:00,PANAMA,"ZHANJIANG, GD",CGW LOGISTICS CO LIMITED,RCVD
3E5913,YAN GANG 2,GENERAL / HEAVY LIFT CARGO,2025/05/12 12:00,PANAMA,"QINZHOU, GX",CGW LOGISTICS CO LIMITED,RCVD
DSOA9,KMTC SINGAPORE,CONTAINER,2025/05/12 14:00,REPUBLIC OF KOREA,LAEM CHABANG,KMTC (HK) CO LIMITED,RCVD
H9UW,MAERSK ENSENADA,CONTAINER,2025/05/12 15:00,PANAMA,"NINGBO, ZJ",TRANSIT AGENT,RCVD
9VFL3,ACX DIAMOND,CONTAINER,2025/05/12 16:00,SINGAPORE,KEELUNG,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,RCVD
A8OS5,YM EFFICIENCY,CONTAINER,2025/05/12 16:00,LIBERIA,"NINGBO, ZJ",YANG MING LINE (HONG KONG) LTD,RCVD
VRWN5,JNS FRIENDSHIP,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 17:00,"HONG KONG, CHINA","ZHANGJIAGANG, JS",TRANSIT AGENT,RCVD
VRMV2,YUEHAI STAR,CHEMICAL,2025/05/12 18:00,"HONG KONG, CHINA","DONGGUAN, GD",CGW LOGISTICS CO LIMITED,RCVD
BFAH8,RUI NING 8,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/12 18:00,CHINA,"BAYUQUAN, LN",SK SHIPPING LIMITED,RCVD
