CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
VRBK8,OSG BOSSTEC,CONTAINER,"HONG KONG, CHINA","UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/13 14:48,PT,OPEN SEA
S6ST,KOTA RATU,CONTAINER,SINGAPORE,PACIFIC INTERNATIONAL LINES (HK) LTD,2025/05/13 14:55,KC3,"HUANGPU, GD"
VRWI3,OOCL BAUHINIA,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,2025/05/13 15:13,KC14,"YANTIAN, SHENZHEN"
VRRH2,FOREVER GLORY,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,2025/05/13 15:17,PAFF,SINGAPORE
D7DX,HEUNG-A HOCHIMINH,CONTAINER,REPUBLIC OF KOREA,KONG HING AGENCY LTD,2025/05/13 16:00,KC9,INCHEON
3E2004,BO YANG TUO ZHAN,GENERAL / HEAVY LIFT CARGO,PANAMA,MINDA SHIPPING (HONG KONG) LIMITED,2025/05/13 16:10,SELA,DUNG QUAT
9VFL3,ACX DIAMOND,CONTAINER,SINGAPORE,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,2025/05/13 16:43,KC5,PORT KELANG
D7VN,KMTC COLOMBO,CONTAINER,REPUBLIC OF KOREA,KMTC (HK) CO LIMITED,2025/05/13 16:59,KC8,QINGDAO
5LKO9,LITTLE DOLPHIN,CONTAINER,LIBERIA,CMA CGM ASIA SHIPPING PTE. LTD.,2025/05/13 17:54,KC6,"NANSHA, PANYU"
BPAR,XIN QING DAO,CONTAINER,CHINA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/13 18:31,KC12,"XIAMEN, FJ"
XVJV7,AMBER,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,BEN LINE AGENCIES (HK) LTD,2025/05/13 18:47,SLA,"DONGGUAN, GD"
9V6494,WAN HAI 325,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/13 19:41,KC6,KAOHSIUNG
5LES7,EVER ORIGIN,CONTAINER,LIBERIA,EVERGREEN MARINE (HONG KONG) LTD,2025/05/13 19:54,KC7,"SHEKOU, SHENZHEN"
5IM998,GENESIS 168,GENERAL / HEAVY LIFT CARGO,UNITED REPUBLIC OF TANZANIA,HONGYU SHIPPING (HK) LIMITED,2025/05/13 20:08,CMTY,ANPING
VRUN6,ONE PARANA,CONTAINER,"HONG KONG, CHINA",OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,2025/05/13 20:44,KC2,SINGAPORE
3E6682,CHANG SHENG JI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,CONCORD MARINE LIMITED,2025/05/13 21:01,SWLA,KAOHSIUNG
3WLO9,DAI TAY DUONG 25,GENERAL / HEAVY LIFT CARGO,VIETNAM,Y & W SHIPPING COMPANY LIMITED,2025/05/13 21:53,SWLA,OPEN SEA
OWYZ2,MARGRETHE MAERSK,CONTAINER,DENMARK,PENAVICO (HONG KONG) LIMITED,2025/05/13 21:57,KC19,TANJUNG PELEPAS
H3UD,AKANE,"TANKER (CRUDE,FUEL,DIESEL,LUB)",PANAMA,GULF AGENCY CO (HK) LTD,2025/05/13 22:26,EMTY,SINGAPORE
BOQW6,ZHONG TUO FU XING,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,OCEAN BASE CO LTD,2025/05/13 23:01,SWLA,"OTHER, RUSSIAN"
OYLF2,NIMTOFTE MAERSK,CONTAINER,DENMARK,PENAVICO (HONG KONG) LIMITED,2025/05/13 23:12,NLA,"NANSHA, PANYU"
HONT,HARBOUR WELL,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,OCEAN BASE CO LTD,2025/05/13 23:40,SELA,"OTHER, INDONESIA"
9MWL9,NYLEX 1,CHEMICAL,MALAYSIA,GULF AGENCY CO (HK) LTD,2025/05/13 23:56,SLA,LABUAN
V7A7429,ONSAN CHEMI ,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MARSHALL ISLANDS,GULF AGENCY CO (HK) LTD,2025/05/14 00:38,SLA,LABUAN
PJF13,JIANXIN PHOENIX,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,ST. MAARTEN,MINDA SHIPPING (HONG KONG) LIMITED,2025/05/14 00:52,SWLA,VLADIVOSTOK
BPOZ2,GUO JIA NENG YUAN 822,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/14 01:06,SWLA,OPEN SEA
V7A5992,SAWASDEE CAPELLA,CONTAINER,MARSHALL ISLANDS,SINOKOR HONGKONG CO LIMITED,2025/05/14 01:22,KC10,SAIGON
BOCJ,BAI AN HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,PENAVICO (HONG KONG) LIMITED,2025/05/14 01:57,SELA,PORT HEDLAND
9HA5092,AFRA ROSSI,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MALTA,VASTON SHIPPING AGENCY LIMITED,2025/05/14 02:02,SINO,SINGAPORE
3E8804,ZHONG LIAN 8 ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,E & M AGENCY LIMITED,2025/05/14 02:49,SWLA,"OTHER, THAILAND"
9V7978,EVER FUTURE,CONTAINER,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,2025/05/14 03:23,KC10,"SHANGHAI, SH"
9V7808,EVER WISH,CONTAINER,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,2025/05/14 03:52,SELA,KAOHSIUNG
3E3333,ORIENTAL LUCK,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,VEROSA AGENCY LIMITED,2025/05/14 03:53,SELA,"OTHER, VIETNAM"
9V9926,APL MEXICO CITY,CONTAINER,SINGAPORE,CMA CGM (HONG KONG) LIMITED,2025/05/14 04:12,SWLA,"NANSHA, PANYU"
9V8143,OCEAN FEATHER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,PENAVICO (HONG KONG) LIMITED,2025/05/14 04:46,SWLA,"OTHER, PHILIPPINES"
VRLN2,SITC HAKATA,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,2025/05/14 05:04,SELA,"OTHER, MYANMAR"
