CALL_SIGN,AGENT_NAME,VESSEL_NAME,VESSEL_MAX_DRAFT,WEATHER_IMPACT_PCT,CONGESTION_IMPACT_PCT,EFFECTIVENESS_SCORE,RELIABILITY_SCORE,WORK_ENV_SCORE,BERTH
TO10060,HYALINE SHIPPING (HK) CO LTD,WAN HAI 293,9.7,0.0,0.0,0.518,0.722,0.829,KC2
UN10061,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,CSWFM
AI10062,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,KC11
AY10063,REGIONAL CONTAINER LINES (HK) LTD,URU BHUM,10.0,0.25,0.26,0.865,0.488,0.416,KC11
WV10064,EVERGREEN MARINE (HONG KONG) LTD,EVER WIN,8.2,0.15,0.39,1.0,0.772,0.44,KC14
HB10065,HMM (HONG KONG) LIMITED,HYUNDAI FAITH,11.5,0.3,0.15,0.809,0.845,0.585,CMTY
WY10066,HMM (HONG KONG) LIMITED,HYUNDAI PREMIUM,12.1,0.13,0.4,0.809,0.845,0.585,KC2
CM10067,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CSCL ASIA,9.8,0.15,0.37,0.497,0.636,0.593,KC13
BT10068,EVERGREEN MARINE (HONG KONG) LTD,GREEN CLARITY,9.0,0.0,0.0,1.0,0.772,0.44,KC12
TD10069,CGW LOGISTICS CO LIMITED,CHUNRONG 803,5.0,0.28,0.24,0.415,0.963,0.32,KC
MO10070,INCHCAPE SHIPPING SERVICES (HK) LTD,SHOKAI ,6.9,0.18,0.31,0.588,0.234,0.66,KC8
GW10071,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING BRAZIL,11.5,0.22,0.27,0.497,0.636,0.593,KC8
LF10072,EVERGREEN MARINE (HONG KONG) LTD,EVER CROWN,6.45,0.24,0.21,1.0,0.772,0.44,SWLA
OS10073,VEROSA AGENCY LIMITED,APOLLO FIRST,8.31,0.11,0.45,0.677,0.604,0.279,CMTY
FI10074,SHK AGENCY LIMITED,OCEANIC STAR,9.0,0.23,0.24,0.347,0.603,0.659,KC19
ZQ10075,REGIONAL CONTAINER LINES (HK) LTD,URU BHUM,10.0,0.25,0.26,0.865,0.488,0.416,TMECO
LN10076,EVERGREEN MARINE (HONG KONG) LTD,EVER BASIS,10.1,0.22,0.25,1.0,0.772,0.44,SWLA
DF10077,VEROSA AGENCY LIMITED,APOLLO FIRST,8.31,0.11,0.45,0.677,0.604,0.279,KC16
IP10078,PENAVICO (HONG KONG) LIMITED,HUMBOLDT EXPRESS,14.0,0.2,0.28,1.0,0.482,0.977,SHELL
FF10079,PENAVICO (HONG KONG) LIMITED,ZHONG GU DONG HAI,6.6,0.36,0.18,1.0,0.482,0.977,SWLA
BQ10080,PENAVICO (HONG KONG) LIMITED,MAERSK QINZHOU,9.7,0.28,0.19,1.0,0.482,0.977,SWLA
FX10081,WALLEM SHIPPING (HK) LTD,SEACON OSLO,13.9,0.14,0.34,0.993,0.722,0.758,KC19
WB10082,EVERGREEN MARINE (HONG KONG) LTD,EVER FUTURE,12.7,0.17,0.31,1.0,0.772,0.44,KC
GR10083,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CSCL ASIA,9.8,0.15,0.37,0.497,0.636,0.593,KC10
FD10084,EVERGREEN MARINE (HONG KONG) LTD,EVER ORDER,11.6,0.17,0.31,1.0,0.772,0.44,KC13
YO10085,T.S. LINES LIMITED,TS SURABAYA,7.7,0.28,0.16,0.83,0.515,0.531,KC19
MU10086,HMM (HONG KONG) LIMITED,HYUNDAI FAITH,11.5,0.3,0.15,0.809,0.845,0.585,SLA
UE10087,GULF AGENCY CO (HK) LTD,GREEN POWER,7.0,0.26,0.21,0.317,0.411,1.0,SWLA
CL10088,"UNITRANS AGENCY HONG KONG CO., LIMITED",MEGALOHARI,6.72,0.22,0.29,0.355,0.813,0.562,KC16
LM10089,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,FENGYUNHE,7.6,0.2,0.32,0.497,0.636,0.593,KC16
SR10090,YANG MING LINE (HONG KONG) LTD,YM IMMENSE,8.4,0.24,0.26,0.456,0.55,0.91,KC3
ZC10091,INCHCAPE SHIPPING SERVICES (HK) LTD,SHOKAI ,6.9,0.18,0.31,0.588,0.234,0.66,KC7
KI10092,SINOTRANS (HK) SHIPPING LTD,AS COLUMBIA,7.5,0.22,0.28,0.763,0.851,0.366,KC3
WG10093,HMM (HONG KONG) LIMITED,HYUNDAI FAITH,11.5,0.3,0.15,0.809,0.845,0.585,KC9
EL10094,EVERGREEN MARINE (HONG KONG) LTD,SEASPAN YINGKOU,9.2,0.22,0.29,1.0,0.772,0.44,SWLA
KH10095,T.S. LINES LIMITED,TS OSAKA,7.6,0.13,0.41,0.83,0.515,0.531,KC10
GY10096,EVERGREEN MARINE (HONG KONG) LTD,EVER CROWN,6.45,0.24,0.21,1.0,0.772,0.44,TMECO
LW10097,"UNITRANS AGENCY HONG KONG CO., LIMITED",OSG BOSSTEC,6.8,0.29,0.16,0.355,0.813,0.562,KC2
OB10098,PENAVICO (HONG KONG) LIMITED,ZHONG GU DONG HAI,6.6,0.36,0.18,1.0,0.482,0.977,KC7
ZV10099,CGW LOGISTICS CO LIMITED,CHUNRONG 803,5.0,0.28,0.24,0.415,0.963,0.32,KC16
ZY10100,YANG MING LINE (HONG KONG) LTD,HORAI BRIDGE,8.2,0.21,0.31,0.456,0.55,0.91,KC7
WE10101,HYALINE SHIPPING (HK) CO LTD,WAN HAI 293,9.7,0.0,0.0,0.518,0.722,0.829,KC16
MF10102,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,FOREVER GLORY,11.9,0.2,0.32,0.742,0.833,0.443,KC10
KB10103,WALLEM SHIPPING (HK) LTD,SEACON OSLO,13.9,0.14,0.34,0.993,0.722,0.758,KC8
JZ10104,SGS HONG KONG LIMITED,GUANG MAO,7.1,0.23,0.25,0.653,0.836,0.681,KC10
GU10105,OCEAN BASE CO LTD,SUNFLYTE,9.0,0.21,0.26,0.58,0.668,0.62,KC19
LK10106,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,KC6
YZ10107,WALLEM SHIPPING (HK) LTD,LAUTOKA CHIEF,10.0,0.19,0.35,0.993,0.722,0.758,KC16
OS10108,VEROSA AGENCY LIMITED,APOLLO FIRST,8.31,0.11,0.45,0.677,0.604,0.279,CMTY
EH10109,HYALINE SHIPPING (HK) CO LTD,WAN HAI 293,9.7,0.0,0.0,0.518,0.722,0.829,KC16
ZP10110,EVERGREEN MARINE (HONG KONG) LTD,TEXAS TRIUMPH,12.8,0.23,0.25,1.0,0.772,0.44,KC12
OT10111,EVERGREEN MARINE (HONG KONG) LTD,EVER BIRTH,10.3,0.24,0.28,1.0,0.772,0.44,KC9
BP10112,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,FENGYUNHE,7.6,0.2,0.32,0.497,0.636,0.593,KC12
NW10113,EVERGREEN MARINE (HONG KONG) LTD,TEXAS TRIUMPH,12.8,0.23,0.25,1.0,0.772,0.44,TMECO
EY10114,EVERGREEN MARINE (HONG KONG) LTD,EVER CROWN,6.45,0.24,0.21,1.0,0.772,0.44,SELA
CE10115,KMTC (HK) CO LIMITED,KMTC TIANJIN,11.1,0.22,0.26,0.607,0.554,0.216,KC4
PR10116,OOCL HONG KONG BRANCH,OOCL BAUHINIA,11.5,0.0,0.0,0.799,0.715,0.317,SELA
GD10117,VEROSA AGENCY LIMITED,APOLLO FIRST,8.31,0.11,0.45,0.677,0.604,0.279,CMTY
XG10118,EVERGREEN MARINE (HONG KONG) LTD,EVER FUTURE,12.7,0.17,0.31,1.0,0.772,0.44,KC8
PQ10119,EVERGREEN MARINE (HONG KONG) LTD,EVER WIN,8.2,0.15,0.39,1.0,0.772,0.44,SWLA
KP10120,EVERGREEN MARINE (HONG KONG) LTD,EVER WIN,8.2,0.15,0.39,1.0,0.772,0.44,SHELL
NY10121,HYALINE SHIPPING (HK) CO LTD,WAN HAI 325,11.1,0.22,0.29,0.518,0.722,0.829,CSWFM
FS10122,SGS HONG KONG LIMITED,HOLLY DEVELOPER,5.8,0.18,0.33,0.653,0.836,0.681,KC4
GK10123,GULF AGENCY CO (HK) LTD,SILVER JOAN,9.5,0.25,0.24,0.317,0.411,1.0,KC9
RH10124,OOCL HONG KONG BRANCH,OOCL SAN FRANCISCO,10.3,0.21,0.27,0.799,0.715,0.317,SHELL
IT10125,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,ACX DIAMOND,10.0,0.24,0.25,0.64,0.584,0.637,KC12
BL10126,GULF AGENCY CO (HK) LTD,BERGE HENG SHAN,8.67,0.23,0.28,0.317,0.411,1.0,KC9
ZZ10127,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,GENCO RELIANCE,11.0,0.26,0.25,0.608,0.709,0.353,KC
BF10128,HMM (HONG KONG) LIMITED,HYUNDAI PREMIUM,12.1,0.13,0.4,0.809,0.845,0.585,KC8
GY10129,HMM (HONG KONG) LIMITED,HYUNDAI PREMIUM,12.1,0.13,0.4,0.809,0.845,0.585,KC
WW10130,BRIGHT CAPITAL SHIPPING CO LIMITED,LIAN YUN 9,6.2,0.23,0.27,0.853,0.588,0.635,KC11
JE10131,REGIONAL CONTAINER LINES (HK) LTD,URU BHUM,10.0,0.25,0.26,0.865,0.488,0.416,KC
VS10132,SINOTRANS (HK) SHIPPING LTD,DONGJIN VOYAGER,9.9,0.29,0.21,0.763,0.851,0.366,KC19
PZ10133,EVERGREEN MARINE (HONG KONG) LTD,EVER ORIGIN,9.1,0.19,0.32,1.0,0.772,0.44,KC
RA10134,WALLEM SHIPPING (HK) LTD,SEACON OSLO,13.9,0.14,0.34,0.993,0.722,0.758,KC8
VH10135,HARBOUR-LINK LINES LIMITED ,HARBOUR HORIZON,8.0,0.18,0.35,0.556,0.357,0.268,SELA
RY10136,CGW LOGISTICS CO LIMITED,YUEHAI STAR,6.3,0.3,0.12,0.415,0.963,0.32,SELA
DD10137,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,XIN DAN DONG,8.8,0.17,0.33,0.497,0.636,0.593,KC7
CO10138,GULF AGENCY CO (HK) LTD,SILVER JOAN,9.5,0.25,0.24,0.317,0.411,1.0,TMECO
HP10139,PENAVICO (HONG KONG) LIMITED,ZHONG GU DONG HAI,6.6,0.36,0.18,1.0,0.482,0.977,KC13
SF10140,HYALINE SHIPPING (HK) CO LTD,WAN HAI 365,9.7,0.24,0.25,0.518,0.722,0.829,KC
QG10141,OOCL HONG KONG BRANCH,OOCL SAN FRANCISCO,10.3,0.21,0.27,0.799,0.715,0.317,KC12
MX10142,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,XIN QING DAO,11.0,0.18,0.37,0.497,0.636,0.593,KC
VC10143,INCHCAPE SHIPPING SERVICES (HK) LTD,DAPENG PRINCESS,7.5,0.23,0.27,0.588,0.234,0.66,KC8
LH10144,SGS HONG KONG LIMITED,GUANG MAO,7.1,0.23,0.25,0.653,0.836,0.681,SHELL
AU10145,GULF AGENCY CO (HK) LTD,GREEN POWER,7.0,0.26,0.21,0.317,0.411,1.0,KC2
QG10146,PENAVICO (HONG KONG) LIMITED,MAERSK QINZHOU,9.7,0.28,0.19,1.0,0.482,0.977,SWLA
TO10147,NS UNITED SHIPPING (HK) CO LIMITED,ASIAN ISLAND,6.29,0.21,0.29,0.606,0.716,0.652,CSWFM
LA10148,YANG MING LINE (HONG KONG) LTD,YM IMMENSE,8.4,0.24,0.26,0.456,0.55,0.91,KC
BW10149,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,XIN DAN DONG,8.8,0.17,0.33,0.497,0.636,0.593,KC6
XO10150,SGS HONG KONG LIMITED,HOLLY DEVELOPER,5.8,0.18,0.33,0.653,0.836,0.681,KC11
VP10151,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,ONE AMAZON,13.2,0.24,0.25,0.64,0.584,0.637,SELA
DD10152,CGW LOGISTICS CO LIMITED,YUEHAI STAR,6.3,0.3,0.12,0.415,0.963,0.32,KC11
IX10153,SGS HONG KONG LIMITED,OCEAN DUKE,8.6,0.23,0.25,0.653,0.836,0.681,CMTY
UW10154,YANG MING LINE (HONG KONG) LTD,YM HARMONY,8.5,0.3,0.18,0.456,0.55,0.91,KC19
XF10155,EVERGREEN MARINE (HONG KONG) LTD,SEASPAN YINGKOU,9.2,0.22,0.29,1.0,0.772,0.44,KC7
GC10156,BRIGHT CAPITAL SHIPPING CO LIMITED,LIAN YUN 9,6.2,0.23,0.27,0.853,0.588,0.635,KC16
UW10157,KMTC (HK) CO LIMITED,KMTC GWANGYANG,9.4,0.3,0.17,0.607,0.554,0.216,SELA
KQ10158,CGW LOGISTICS CO LIMITED,LAN HAI FANG ZHOU,6.2,0.13,0.42,0.415,0.963,0.32,KC8
EY10159,EVERGREEN MARINE (HONG KONG) LTD,SEASPAN YINGKOU,9.2,0.22,0.29,1.0,0.772,0.44,KC9
WZ10160,T.S. LINES LIMITED,TS SURABAYA,7.7,0.28,0.16,0.83,0.515,0.531,KC8
VW10161,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,KC2
AT10162,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING LOTUS,13.8,0.23,0.27,0.497,0.636,0.593,KC10
IY10163,HMM (HONG KONG) LIMITED,HYUNDAI FAITH,11.5,0.3,0.15,0.809,0.845,0.585,CMTY
UW10164,EVERGREEN MARINE (HONG KONG) LTD,EVER ORDER,11.6,0.17,0.31,1.0,0.772,0.44,KC19
VG10165,PENAVICO (HONG KONG) LIMITED,ZHONG GU DONG HAI,6.6,0.36,0.18,1.0,0.482,0.977,KC11
UC10166,CMA CGM ASIA SHIPPING PTE. LTD.,CNC PUMA,9.02,0.17,0.32,0.714,0.643,0.881,SWLA
WW10167,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,FU LIAN,6.4,0.26,0.22,0.497,0.636,0.593,KC16
FV10168,PENAVICO (HONG KONG) LIMITED,MAERSK QINZHOU,9.7,0.28,0.19,1.0,0.482,0.977,KC8
LH10169,WALLEM SHIPPING (HK) LTD,MARINA ARUNG,7.2,0.22,0.3,0.993,0.722,0.758,KC7
UF10170,OOCL HONG KONG BRANCH,OOCL SAN FRANCISCO,10.3,0.21,0.27,0.799,0.715,0.317,KC3
AF10171,EVERGREEN MARINE (HONG KONG) LTD,GREEN CLARITY,9.0,0.0,0.0,1.0,0.772,0.44,KC8
IW10172,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING LOTUS,13.8,0.23,0.27,0.497,0.636,0.593,KC14
ZH10173,HARBOUR-LINK LINES LIMITED ,HARBOUR HORIZON,8.0,0.18,0.35,0.556,0.357,0.268,KC6
QK10174,EVERGREEN MARINE (HONG KONG) LTD,EVER ORDER,11.6,0.17,0.31,1.0,0.772,0.44,KC12
ZN10175,EVERGREEN MARINE (HONG KONG) LTD,SEASPAN YINGKOU,9.2,0.22,0.29,1.0,0.772,0.44,KC6
YC10176,CMA CGM (HONG KONG) LIMITED,CMA CGM BUZIOS,11.1,0.21,0.33,0.748,0.429,0.612,KC8
ZE10177,SINOTRANS (HK) SHIPPING LTD,NICOLAI MAERSK,9.7,0.19,0.33,0.763,0.851,0.366,KC11
ZG10178,EVERGREEN MARINE (HONG KONG) LTD,EVER CROWN,6.45,0.24,0.21,1.0,0.772,0.44,KC9
CL10179,GULF AGENCY CO (HK) LTD,GREEN POWER,7.0,0.26,0.21,0.317,0.411,1.0,KC5
SI10180,KMTC (HK) CO LIMITED,KMTC TIANJIN,11.1,0.22,0.26,0.607,0.554,0.216,KC10
PN10181,HYALINE SHIPPING (HK) CO LTD,WAN HAI 365,9.7,0.24,0.25,0.518,0.722,0.829,KC
KO10182,KMTC (HK) CO LIMITED,KMTC SINGAPORE,9.4,0.23,0.25,0.607,0.554,0.216,SLA
GS10183,HYALINE SHIPPING (HK) CO LTD,WAN HAI 293,9.7,0.0,0.0,0.518,0.722,0.829,KC14
AY10184,"UNITRANS AGENCY HONG KONG CO., LIMITED",WOORI SUN,5.9,0.15,0.4,0.355,0.813,0.562,KC8
NS10185,EVERGREEN MARINE (HONG KONG) LTD,MTT PELEPAS,8.5,0.19,0.34,1.0,0.772,0.44,SHELL
TR10186,P. M. S. HONG KONG LIMITED,HONG RUN 6,7.1,0.22,0.3,0.697,0.946,0.356,KC
JB10187,HYALINE SHIPPING (HK) CO LTD,WAN HAI 178,8.5,0.0,0.0,0.518,0.722,0.829,KC10
RI10188,WELLS MARINE AGENCIES,MARATHASSA,14.4,0.13,0.32,0.58,0.606,0.29,KC11
IW10189,PENAVICO (HONG KONG) LIMITED,HUMBOLDT EXPRESS,14.0,0.2,0.28,1.0,0.482,0.977,CMTY
SH10190,EVERGREEN MARINE (HONG KONG) LTD,EVER BIRTH,10.3,0.24,0.28,1.0,0.772,0.44,KC8
IK10191,SGS HONG KONG LIMITED,HOLLY DEVELOPER,5.8,0.18,0.33,0.653,0.836,0.681,CSWFM
KH10192,CMA CGM (HONG KONG) LIMITED,ANL WAIKATO ,10.7,0.23,0.27,0.748,0.429,0.612,SLA
DK10193,OOCL HONG KONG BRANCH,OOCL BAUHINIA,11.5,0.0,0.0,0.799,0.715,0.317,KC3
YR10194,CMA CGM (HONG KONG) LIMITED,CMA CGM DIGNITY,13.3,0.24,0.24,0.748,0.429,0.612,KC13
XQ10195,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,ACX DIAMOND,10.0,0.24,0.25,0.64,0.584,0.637,SWLA
HO10196,CGW LOGISTICS CO LIMITED,HUI FENG HAI 17,7.1,0.32,0.16,0.415,0.963,0.32,KC3
AH10197,HARBOUR-LINK LINES LIMITED ,HARBOUR HORIZON,8.0,0.18,0.35,0.556,0.357,0.268,KC5
LP10198,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING LOTUS,13.8,0.23,0.27,0.497,0.636,0.593,KC12
RM10199,CONCORD MARINE LIMITED,FU LONG SHENG,7.6,0.0,0.0,1.0,0.721,0.614,KC13
LF10200,"UNITRANS AGENCY HONG KONG CO., LIMITED",OSG BOSSTEC,6.8,0.29,0.16,0.355,0.813,0.562,KC19
MX10201,HYALINE SHIPPING (HK) CO LTD,WAN HAI 293,9.7,0.0,0.0,0.518,0.722,0.829,SLA
UE10202,WALLEM SHIPPING (HK) LTD,SEACON OSLO,13.9,0.14,0.34,0.993,0.722,0.758,KC2
CN10203,HARBOUR-LINK LINES LIMITED ,HARBOUR HORIZON,8.0,0.18,0.35,0.556,0.357,0.268,KC16
QI10204,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,COSCO SHIPPING BRAZIL,11.5,0.22,0.27,0.497,0.636,0.593,SWLA
VT10205,KMTC (HK) CO LIMITED,KMTC XIAMEN,10.0,0.24,0.26,0.607,0.554,0.216,WA3
RF10206,VEROSA AGENCY LIMITED,APOLLO FIRST,8.31,0.11,0.45,0.677,0.604,0.279,KC19
FA10207,HYALINE SHIPPING (HK) CO LTD,WAN HAI 365,9.7,0.24,0.25,0.518,0.722,0.829,KC5
GM10208,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,KC5
WB10209,T.S. LINES LIMITED,TS SURABAYA,7.7,0.28,0.16,0.83,0.515,0.531,KC9
KQ10210,KMTC (HK) CO LIMITED,KMTC NAGOYA,9.4,0.16,0.36,0.607,0.554,0.216,KC19
FS10211,HMM (HONG KONG) LIMITED,HYUNDAI PREMIUM,12.1,0.13,0.4,0.809,0.845,0.585,KC7
